data_source,game_key,turn,player_seat,posterior_marginal,posterior_joint,n_cand_marginal,n_cand_joint,n_constrained_others
hanab_live,1757382,44,0,0,0,1,1,4
hanab_live,1757382,47,1,0.6,0.6,4,4,4
hanab_live,1757382,49,1,0.666666666667,0.666666666667,3,3,3
hanab_live,1757382,54,0,0.75,0.666666666667,4,3,4
hanab_live,1757382,55,1,0,0,1,1,1
hanab_live,1757382,56,0,0,0,1,1,3
hanab_live,1757382,58,0,0,0,1,1,2
hanab_live,1757392,2,0,0,0,5,5,4
hanab_live,1757392,4,0,0.153846153846,0.153846153846,5,5,4
hanab_live,1757392,6,0,0.857142857143,0.88,5,5,4
hanab_live,1757392,8,0,0.666666666667,0.666666666667,5,5,4
hanab_live,1757392,10,0,0.777777777778,0.785714285714,5,5,4
hanab_live,1757392,13,1,0.571428571429,0.571428571429,4,4,4
hanab_live,1757392,14,0,0.333333333333,0.333333333333,2,2,4
hanab_live,1757392,16,0,0.5,0.5,2,2,3
hanab_live,1757392,18,0,0.666666666667,0.666666666667,5,5,4
hanab_live,1757392,20,0,0.6,0.6,3,3,3
hanab_live,1757392,22,0,0.666666666667,0.666666666667,3,3,2
hanab_live,1757392,28,0,0.6,0.6,4,4,4
hanab_live,1757392,31,1,0.8,0.8,4,4,4
hanab_live,1757392,42,0,0.6,0.6,4,4,4
hanab_live,1757392,45,1,0.75,0.666666666667,3,3,4
hanab_live,1757392,49,1,0.5,0.5,2,2,3
hanab_live,1757392,52,0,0.5,0.5,2,2,4
hanab_live,1757392,54,0,0.5,0,3,1,4
hanab_live,1757392,57,1,0.5,0.5,3,3,4
hanab_live,1757392,58,0,0,0,1,1,3
hanab_live,1757392,59,1,0,0,1,1,3
hanab_live,1757392,60,0,0,0,1,1,2
hanab_live,1757392,61,1,0,0,1,1,2
hanab_live,1757392,62,0,0,0,1,1,1
hanab_live,1757396,3,1,0,0,5,5,4
hanab_live,1757396,6,0,0.714285714286,0.714285714286,4,4,4
hanab_live,1757396,8,0,0.666666666667,0.625,4,4,4
hanab_live,1757396,14,0,0,0,1,1,3
hanab_live,1757396,15,1,0.75,0.714285714286,5,4,3
